CODIGO,ALTITUD,CODIGO_S,EMBALSES_SC,Demb arr.(m),Demb ab.(m),Dist.Guadalq.(m),UTMX,UTMY
1.1.2,797,1.1,2,4448,No existe,5122,515058.43,4205080.41
1.1.3,689,1.2,0,No existe,No existe,2040,516227.38,4211770.44
1.1.4,716,1.1,2,8725,No existe,2100,512490.41,4206303.4
1.1.8,693,1.3,1,No existe,2199,2150,522862.3,4223459.53
1.1.9,673,1.4,1,No existe,1712,1859,524755.24,4231066.56
1.1.10,680,1.1,2,8497,No existe,1077,512435.4,4207324.4
1.1.11,671,1.4,1,No existe,1796,2057,523762.23,4231766.55
1.2.2,350,2.2,0,No existe,No existe,2821,468770.36,4198706.02
1.3.4,354,3,8,3725,6317,62023,475735.2,4220288.13
1.3.7,434,3,8,29416,31820,99292,497108.18,4229621.33
1.3.9,386,3,8,53275,7398,74889,482617.22,4220971.19
1.3.10,472,3,8,No existe,26763,108065,498386.14,4235426.36
1.3.12,451,3,8,17569,43387,110874,501812.14,4235782.39
1.3.13,512,3,8,No existe,17365,117669,505544.15,4235921.42
1.3.14,615,3,8,No existe,24010,124314,510755.19,4233542.45
1.3.15,763,3,8,No existe,30360,130664,516365.19,4234133.5
1.3.16,700,3,8,No existe,27904,128231,514031.19,4233464.48
1.3.17,484,3,8,No existe,11500,120890,506556.11,4241810.44
1.3.19,505,3,8,No existe,18460,127849,511489.1,4244197.49
1.3.20,519,3,8,No existe,23110,132603,515169.1,4244735.52
1.3.21,592,3,8,No existe,31729,141234,519815.08,4248640.57
1.3.23,566,3,8,No existe,32412,142345,522487.11,4245834.58
1.3.24,602,3,8,No existe,40940,150840,527542.13,4246013.62
1.3.25,617,3,8,No existe,40210,150195,526357.16,4241455.6
1.3.26,667,3,8,No existe,44130,154035,525422.18,4238558.59
1.3.27,707,3,8,No existe,43811,153699,529143.17,4241023.62
1.3.28,712,3,8,No existe,45076,155019,528485.19,4237929.61
1.3.30,642,3,8,No existe,48902,158844,531925.11,4249761.67
1.3.31,728,3,8,No existe,53125,162614,533886.13,4247397.68
1.3.32,742,3,8,No existe,56320,165791,536290.13,4248110.7
1.3.33,684,3,8,No existe,54296,163810,535618.1,4252054.7
1.3.34,756,3,8,No existe,56975,166543,538391.12,4250431.72
1.3.35,637,3,8,No existe,47580,157431,529814.09,4250519.65
1.3.36,733,3,8,No existe,54673,164555,532774.06,4255608.69
1.3.37,768,3,8,No existe,66480.72321,177295.34,541650,4254641
1.3.38,774,3,8,No existe,66121.59424,176936.21,541439,4253956
1.3.39,889,3,8,No existe,70388.54605,181203.16,542701,4257837
1.3.40,935,3,8,No existe,71595.39894,182410.02,540684,4258378
1.3.41,931,3,8,No existe,70220.44573,181035.06,544123,4256543
1.4.4,735,3,8,No existe,25310,175174,523901,4259572.63
1.4.5,600,3,8,No existe,502,150341,513016.99,4258673.53
1.4.6,623,3,8,No existe,7004,156850,515170.98,4260090.56
1.4.7,651,3,8,No existe,16011,165827,518688.96,4263167.59
1.4.8,656,3,8,No existe,17730,167566,519191.96,4263143.6
1.4.9,825,3,8,No existe,42141,182494,532260,4262664.7
1.4.10,502,3,8,3803,57114,124731,505341.08,4244938.44
1.4.16,703,3,8,No existe,15737.662,164277,516700,4263548
1.4.17,800,3,8,No existe,23098.25019,171749.42,514729,4265751
1.4.18,728,3,8,No existe,21902.8166,170553.99,516491,4266718
1.4.19,700,3,8,No existe,23188.24218,171901.74,520965,4265438
1.4.20,793,3,8,No existe,34342.28358,183055.78,526215,4266761
1.4.21,713,3,8,No existe,28450.43095,177163.92,523529,4267806
1.4.22,726,3,8,No existe,26977.34275,175628.51,523474,4264830
1.4.23,776,3,8,No existe,33406.78948,182057.96,527899,4262605
1.4.24,749,3,8,No existe,30002.13691,178787.98,521007,4270012
1.4.25,825,3,8,No existe,38162.35906,186948.21,523049,4276697
1.4.26,799,3,8,No existe,41029.36097,189742.85,531093,4269799
1.4.27,877,3,8,No existe,45884.84628,194598.34,534779,4267945
1.4.28,737,3,8,No existe,38839.53946,187553.03,528987,4271709
1.4.30,749,3,8,No existe,41085.73524,189799.23,530070,4273376
1.4.31,744,3,8,No existe,35878.73508,184592.23,527492,4269881
1.4.32,761,3,8,No existe,43391.79057,192105.28,531293,4274754
1.4.33,788,3,8,No existe,47222.78356,195936.28,533105,4277233
1.4.34,806,3,8,No existe,50893.31989,199606.81,535220,4279601
1.4.35,799,3,8,No existe,45890.39729,194603.89,533637,4274405
1.4.36,789,3,8,No existe,47632.92033,196346.41,534039,4277248
1.4.37,799,3,8,No existe,51776.54636,200490.04,536773,4278213
1.4.38,1000,3,8,No existe,54858.77884,203572.27,539266,4270526
1.4.39,999,3,8,No existe,55679.93796,204393.43,540990,4270880
1.4.40,914,3,8,No existe,53177.97607,201891.47,539662,4273940
1.4.41,1100,3,8,No existe,58814.41761,207527.91,543908,4271559
1.4.42,1000,3,8,No existe,63197.94873,211911.44,543158,4277510
1.4.43,1131,3,8,No existe,68463.66025,217177.15,547972,4276976
1.4.44,896,3,8,No existe,63087.95351,211801.45,544304,4279426
1.4.45,845,3,8,No existe,58153.31827,206866.81,540295,4279661
1.4.46,1115,3,8,No existe,69783.7215,218497.22,547347,4275022
1.4.47,855,3,8,No existe,58937.78885,207651.28,540366,4281180
1.4.48,1000,3,8,No existe,66979.05075,215692.54,546567,4282942
1.4.49,908,3,8,No existe,51299.69921,200013.19,537530,4272769
1.5.1,512,3,8,No existe,3250,62347,453002,4238730
1.5.2,647,3,8,No existe,23413,87785,469058.95,4249913.16
1.5.3,472,3,8,No existe,33044,87846,477048.98,4248809.22
1.5.5,580,3,8,No existe,20086,84566,468710.96,4247967.15
1.5.6,725,3,8,No existe,2515,123897,500305.01,4252311.41
1.5.7,384,3,8,No existe,3124,55433,464421.05,4236009.08
1.5.8,465,3,8,No existe,27536,82331,476334.02,4242894.2
1.5.10,356,3,8,60555,3876,58345,468948.08,4234001.11
1.5.14,684,3,8,No existe,24356,88601,466873.93,4250939.14
1.5.15,558,3,8,No existe,15570,80029,455468.94,4247379.04
1.5.16,500,3,8,No existe,8004,72396,456440.98,4242566.04
1.5.17,477,3,8,No existe,5603,69971,460182.99,4241423.06
1.5.18,536,3,8,No existe,14589,78956,466369.98,4245444.12
1.5.19,277,3,8,11780,7136,30224,454179.15,4220295.96
1.5.20,339,3,8,3340,15585,38678,450174.11,4223250.94
1.5.21,553,3,8,No existe,45079,97147,481088.96,4252026.26
1.5.22,588,3,8,No existe,50449,102505,483280.95,4254589.28
1.5.23,385,3,8,52732,11287,65479,472296.07,4236177.15
1.5.24,442,3,8,36316,27753,81899,475195.01,4244655.19
1.5.25,480,3,8,27924,38240,90280,480062,4246784.24
1.5.26,561,3,8,18068,48086,100136,484944,4248077.28
1.5.27,611,3,8,10462,55645,107736,489546,4249799.32
1.5.28,621,3,8,No existe,49687,104444,488758.06,4241816.29
1.5.29,534,3,8,No existe,34074,88840,480357.08,4236595.21
1.5.30,410,3,8,No existe,14905,69693,472795.09,4233757.14
1.5.32,700,3,8,No existe,28665.12168,94356.03,457506,4256534
1.5.33,700,3,8,No existe,23316.8118,89007.72,456218,4252685
1.5.34,700,3,8,No existe,24841.73185,90532.64,457177,4253721
1.5.35,637,3,8,No existe,20162.63668,85997.76,456519,4250623
1.5.36,792,3,8,No existe,40716.70446,106407.61,465240,4261855
