CODIGO,ESPECIE,ESPECIE,LONGITUD_mm
1.1.10,Squalius alburnoides,Nativo,52
1.1.10,Squalius alburnoides,Nativo,54
1.1.10,Squalius alburnoides,Nativo,60
1.1.10,Squalius alburnoides,Nativo,61
1.1.10,Squalius alburnoides,Nativo,63
1.1.10,Squalius alburnoides,Nativo,63
1.1.10,Squalius alburnoides,Nativo,67
1.1.10,Squalius alburnoides,Nativo,67
1.1.10,Luciobarbus sclateri,Nativo,36
1.1.10,Luciobarbus sclateri,Nativo,51
1.1.10,Luciobarbus sclateri,Nativo,53
1.1.10,Luciobarbus sclateri,Nativo,56
1.1.10,Luciobarbus sclateri,Nativo,57
1.1.10,Luciobarbus sclateri,Nativo,57
1.1.10,Luciobarbus sclateri,Nativo,61
1.1.10,Luciobarbus sclateri,Nativo,62
1.1.10,Luciobarbus sclateri,Nativo,62
1.1.10,Luciobarbus sclateri,Nativo,62
1.1.10,Luciobarbus sclateri,Nativo,63
1.1.10,Luciobarbus sclateri,Nativo,63
1.1.10,Luciobarbus sclateri,Nativo,64
1.1.10,Luciobarbus sclateri,Nativo,65
1.1.10,Luciobarbus sclateri,Nativo,65
1.1.10,Luciobarbus sclateri,Nativo,70
1.1.10,Luciobarbus sclateri,Nativo,70
1.1.10,Luciobarbus sclateri,Nativo,71
1.1.10,Luciobarbus sclateri,Nativo,71
1.1.10,Luciobarbus sclateri,Nativo,72
1.1.10,Luciobarbus sclateri,Nativo,76
1.1.10,Luciobarbus sclateri,Nativo,81
1.1.10,Luciobarbus sclateri,Nativo,81
1.1.10,Luciobarbus sclateri,Nativo,82
1.1.10,Luciobarbus sclateri,Nativo,83
1.1.10,Luciobarbus sclateri,Nativo,84
1.1.10,Luciobarbus sclateri,Nativo,84
1.1.10,Luciobarbus sclateri,Nativo,85
1.1.10,Luciobarbus sclateri,Nativo,86
1.1.10,Luciobarbus sclateri,Nativo,90
1.1.10,Luciobarbus sclateri,Nativo,98
1.1.10,Luciobarbus sclateri,Nativo,100
1.1.10,Luciobarbus sclateri,Nativo,100
1.1.10,Luciobarbus sclateri,Nativo,101
1.1.10,Luciobarbus sclateri,Nativo,104
1.1.10,Luciobarbus sclateri,Nativo,104
1.1.10,Luciobarbus sclateri,Nativo,105
1.1.10,Luciobarbus sclateri,Nativo,105
1.1.10,Luciobarbus sclateri,Nativo,106
1.1.10,Luciobarbus sclateri,Nativo,106
1.1.10,Luciobarbus sclateri,Nativo,106
1.1.10,Luciobarbus sclateri,Nativo,106
1.1.10,Luciobarbus sclateri,Nativo,106
1.1.10,Luciobarbus sclateri,Nativo,108
1.1.10,Luciobarbus sclateri,Nativo,109
1.1.10,Luciobarbus sclateri,Nativo,110
1.1.10,Luciobarbus sclateri,Nativo,110
1.1.10,Luciobarbus sclateri,Nativo,110
1.1.10,Luciobarbus sclateri,Nativo,110
1.1.10,Luciobarbus sclateri,Nativo,112
1.1.10,Luciobarbus sclateri,Nativo,112
1.1.10,Luciobarbus sclateri,Nativo,112
1.1.10,Luciobarbus sclateri,Nativo,112
1.1.10,Luciobarbus sclateri,Nativo,115
1.1.10,Luciobarbus sclateri,Nativo,116
1.1.10,Luciobarbus sclateri,Nativo,118
1.1.10,Luciobarbus sclateri,Nativo,120
1.1.10,Luciobarbus sclateri,Nativo,121
1.1.10,Luciobarbus sclateri,Nativo,121
1.1.10,Luciobarbus sclateri,Nativo,121
1.1.10,Luciobarbus sclateri,Nativo,122
1.1.10,Luciobarbus sclateri,Nativo,122
1.1.10,Luciobarbus sclateri,Nativo,124
1.1.10,Luciobarbus sclateri,Nativo,125
1.1.10,Luciobarbus sclateri,Nativo,126
1.1.10,Luciobarbus sclateri,Nativo,127
1.1.10,Luciobarbus sclateri,Nativo,128
1.1.10,Luciobarbus sclateri,Nativo,129
1.1.10,Luciobarbus sclateri,Nativo,131
1.1.10,Luciobarbus sclateri,Nativo,131
1.1.10,Luciobarbus sclateri,Nativo,132
1.1.10,Luciobarbus sclateri,Nativo,134
1.1.10,Luciobarbus sclateri,Nativo,135
1.1.10,Luciobarbus sclateri,Nativo,135
1.1.10,Luciobarbus sclateri,Nativo,142
1.1.10,Luciobarbus sclateri,Nativo,143
1.1.10,Luciobarbus sclateri,Nativo,143
1.1.10,Luciobarbus sclateri,Nativo,146
1.1.10,Luciobarbus sclateri,Nativo,151
1.1.10,Luciobarbus sclateri,Nativo,152
1.1.10,Luciobarbus sclateri,Nativo,156
1.1.10,Luciobarbus sclateri,Nativo,156
1.1.10,Luciobarbus sclateri,Nativo,156
1.1.10,Luciobarbus sclateri,Nativo,156
1.1.10,Luciobarbus sclateri,Nativo,159
1.1.10,Luciobarbus sclateri,Nativo,160
1.1.10,Luciobarbus sclateri,Nativo,161
1.1.10,Luciobarbus sclateri,Nativo,162
1.1.10,Luciobarbus sclateri,Nativo,163
1.1.10,Luciobarbus sclateri,Nativo,167
1.1.10,Luciobarbus sclateri,Nativo,170
1.1.10,Luciobarbus sclateri,Nativo,171
1.1.10,Luciobarbus sclateri,Nativo,172
1.1.10,Luciobarbus sclateri,Nativo,172
1.1.10,Luciobarbus sclateri,Nativo,173
1.1.10,Luciobarbus sclateri,Nativo,174
1.1.10,Luciobarbus sclateri,Nativo,175
1.1.10,Luciobarbus sclateri,Nativo,177
1.1.10,Luciobarbus sclateri,Nativo,178
1.1.10,Luciobarbus sclateri,Nativo,183
1.1.10,Luciobarbus sclateri,Nativo,189
1.1.10,Luciobarbus sclateri,Nativo,210
1.1.10,Oncorhynchus mykiss,Exotica,211
1.1.10,Oncorhynchus mykiss,Exotica,420
1.1.10,Salmo trutta,Nativo,83
1.1.10,Salmo trutta,Nativo,220
1.1.10,Squalius pyrenaicus,Nativo,juveniles
1.1.10,Squalius pyrenaicus,Nativo,39
1.1.10,Squalius pyrenaicus,Nativo,40
1.1.10,Squalius pyrenaicus,Nativo,40
1.1.10,Squalius pyrenaicus,Nativo,41
1.1.10,Squalius pyrenaicus,Nativo,42
1.1.10,Squalius pyrenaicus,Nativo,42
1.1.10,Squalius pyrenaicus,Nativo,44
1.1.10,Squalius pyrenaicus,Nativo,44
1.1.10,Squalius pyrenaicus,Nativo,45
1.1.10,Squalius pyrenaicus,Nativo,45
1.1.10,Squalius pyrenaicus,Nativo,45
1.1.10,Squalius pyrenaicus,Nativo,45
1.1.10,Squalius pyrenaicus,Nativo,46
1.1.10,Squalius pyrenaicus,Nativo,46
1.1.10,Squalius pyrenaicus,Nativo,46
1.1.10,Squalius pyrenaicus,Nativo,46
1.1.10,Squalius pyrenaicus,Nativo,46
1.1.10,Squalius pyrenaicus,Nativo,47
1.1.10,Squalius pyrenaicus,Nativo,47
1.1.10,Squalius pyrenaicus,Nativo,47
